,name,github_id,group,category,group_id,dockerhub_id,helm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,projectrank_placing,new_addition,npm_id,npm_url,npm_monthly_downloads,pypi_id,maven_id,pypi_url,pypi_monthly_downloads,maven_url
0,ory-hydra,ory/hydra,True,authentication,ory,oryd/hydra,https://k8s.ory.sh/helm/charts,https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-04-13 09:57:10,2023-04-13 07:22:24,7326,198,1997,339,3187,275.0,2223.0,22410,2023-04-11 10:52:32,2.1.1,533367.0,7400917,141.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",315.0,2.0,468,https://hub.docker.com/r/oryd/hydra,2023-04-11 10:52:32.445066,72.0,377669815.0,41,True,1,True,,,,,,,,
1,nextauthjs,nextauthjs/next-auth,,authentication,,,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-04-13 03:11:06,2023-04-12 10:40:55,2214,164,1877,89,1741,116.0,2763.0,15800,2023-04-03 10:18:04,next-auth@4.21.1,,1698029,100.0,Authentication for the Web.,71464.0,71464.0,516,,,,,40,True,3,,next-auth,https://www.npmjs.com/package/next-auth,1698029.0,,,,,
2,open-policy-agent,open-policy-agent/opa,,authorization,,openpolicyagent/opa,,https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-04-13 11:59:59,2023-04-12 17:07:41,4541,145,1085,117,3599,286.0,1923.0,7939,2023-03-31 14:09:24,0.51.0,2811521.0,2857781,100.0,"An open source, general-purpose policy engine.",2335.0,2335.0,376,https://hub.docker.com/r/openpolicyagent/opa,2023-04-12 17:53:28.977779,30.0,246633627.0,37,True,1,True,,,,,,,,
3,keycloak,keycloak/keycloak,,idp,,quay.io/keycloak/keycloak,,https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-04-13 13:19:59,2023-04-13 12:24:53,21680,747,5129,353,11177,1586.0,4278.0,15636,2023-03-30 11:12:04,21.0.2,1663227.0,59400,34.0,Open Source Identity and Access Management For Modern Applications and Services.,,,1157,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,36,True,1,,,,,,,,,
4,ory-kratos,ory/kratos,,idp,ory,oryd/kratos,https://k8s.ory.sh/helm/charts,https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-04-13 09:57:10,2023-04-13 07:22:24,3740,138,723,109,1547,222.0,854.0,8413,2023-01-14 11:40:30,0.11.1,27802.0,1708490,41.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",313.0,313.0,191,https://hub.docker.com/r/oryd/kratos,2023-01-14 11:40:30.176200,16.0,100758950.0,36,True,1,True,,,,,,,,
5,casbin,casbin/casbin,,authorization,,,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-04-13 09:14:01,2023-04-07 03:18:43,1051,14,1462,228,446,14.0,694.0,14243,2023-04-07 03:20:12,2.66.3,,211572,100.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",2346.0,2346.0,128,,,,,35,True,2,,casbin,https://www.npmjs.com/package/casbin,143419.0,casbin,org.casbin:casbin-spring-boot-starter,https://pypi.org/project/casbin,68153.0,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter
6,cas,apereo/cas,,idp,,apereo/cas,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-04-13 12:34:19,2023-04-13 12:34:10,22954,439,3764,607,4297,,,10192,2023-03-31 06:34:19,6.6.7,,5781,100.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,335,https://hub.docker.com/r/apereo/cas,2023-04-12 19:38:30.643557,120.0,803691.0,31,True,2,True,,,,,,,,
7,oso,osohq/oso,,authorization,,,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-04-03 23:36:19,2023-04-03 22:56:35,1187,16,144,30,1497,97.0,97.0,2982,2023-04-03 23:25:23,0.27.0,2100.0,46077,100.0,Oso is a batteries-included framework for building authorization in your application.,69.0,69.0,61,,,,,28,True,3,True,,,,oso,,https://pypi.org/project/oso,45997.0,
8,casdoor,casdoor/casdoor,,idp,,casbin/casdoor,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-04-13 09:44:47,2023-04-13 06:12:31,1503,186,674,46,963,106.0,623.0,5791,2023-04-13 06:21:37,1.293.0,,1458,100.0,"An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting OAuth 2.0,..",1.0,1.0,111,https://hub.docker.com/r/casbin/casdoor,2023-04-13 07:10:03.136501,6.0,43755.0,27,True,3,,,,,,,,,
9,logto,logto-io/logto,,idp,,svhd/logto,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,,2021-06-19 03:01:50,2023-04-13 11:12:16,2023-04-12 10:01:54,4008,820,191,33,3446,56.0,169.0,5574,2023-03-30 11:58:25,1.1.0,1367.0,375,36.0,Logto is a cost-effective open-source alternative to Auth0. It offers a seamless developer experience and is well-..,6.0,6.0,33,https://hub.docker.com/r/svhd/logto,2023-04-12 10:12:05.963505,,5766.0,26,False,3,True,,,,,,,,
10,cerbos,cerbos/cerbos,,authorization,,ghcr.io/cerbos/cerbos,oci://ghcr.io/cerbos/helm-charts/cerbos,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-04-13 10:53:07,2023-04-13 10:25:08,1208,80,61,19,1284,38.0,192.0,1261,2023-02-13 09:35:11,0.25.0,32382.0,1295,48.0,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",11.0,11.0,18,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,26,True,3,,,,,,,,,
11,freeipa,freeipa/freeipa,,idp,,freeipa/freeipa-server,,https://github.com/freeipa/freeipa,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-04-13 11:49:55,2023-04-12 13:10:04,15539,70,301,51,6779,,,921,,,,40909,,"Mirror of FreeIPA, an integrated security information management solution.",,,213,https://hub.docker.com/r/freeipa/freeipa-server,2023-04-12 05:32:12.213672,145.0,5359201.0,23,True,3,,,,,,,,,
12,permify,permify/permify,,authorization,,ghcr.io/permify/permify,,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-04-13 07:43:43,2023-04-13 07:43:43,1209,621,41,11,311,26.0,53.0,1295,2023-04-03 13:02:09,0.3.7,345.0,43,22.0,Permify is an open-source authorization service inspired by Google Zanzibar.,,,17,https://hub.docker.com/r/ghcr.io/permify/permify,,,,22,True,3,,,,,,,,,
